name,circle_code,circle_cut,day,sells_commision,sells_comic,sells_artbook,sells_photobook_general,sells_novel,sells_game,sells_music,sells_goods,sells_handmade_crafts,sells_magazine,sells_photobook_cosplay,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,marketplace_link,fandom,other_fandom,rating,sampleworks_images
Maghfirare,AA-01,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/maghfirare.jpg,Both Days,False,True,False,False,False,False,False,False,False,False,False,https://facebook.com//maghfirare/,https://instagram.com//maghfirare/,https://twitter.com//maghfirare/,,,Original,-,PG,
Memento Mori,AA-02,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/memento_mori.jpg,Both Days,False,True,True,False,False,False,False,True,True,False,False,https://www.facebook.com/RealBWusagi/,https://www.instagram.com/bwusagi/,https://twitter.com/bwusagi,,,-,-,PG,
Lunacerra,AA-03,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/lunacerra.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,,https://instagram.com/lunacerra,https://twitter.com/lunacerra,,,Genshin Impact,HSR,GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/a19bd36b-35fb-4f58-86bb-4716be3d7d61/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/edf0108c-8b3c-4d7a-a131-a07aff0da78b/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/161a4d92-9eb2-4d4d-ab7d-e3bfd572fbd7/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/3fd5dc7f-479c-42cf-87af-8be714f7542c/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/679b8e90-156b-47f4-97a9-32e0bc889668/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/735c0bb7-5ced-4292-be01-f17203b416e0/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/bb3a7eab-fffa-415d-8f72-b5b1591b481a/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/5bb5ffbc-8035-4545-be15-7b95fef1b79d/AA-03.jpg']"
Kejiyaa21,AA-04,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/kejiyaa21.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,https://instagram.com/kejiyaa21,,,,Trigun,"Witch Hat Atelier, Undertale, Genshin Impact",GA,
MAZJOJO,AA-05,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/mazjojo.jpg,Both Days,False,True,True,False,False,True,False,True,False,False,False,https://facebook.com/mazjojoart,https://instagram.com/mazmazjojo,https://twitter.com/mazjojomania,,,Original,-,M,
Fumato,AA-06,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/fumato.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,,https://twitter.com/fumaimpact,,,Fate,-,GA,
YamKio,AA-07,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/yamkio.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/Yammkioo,https://www.instagram.com/oyakorodesu/,https://twitter.com/Oyakorodesu,,,Genshin Impact,ff14,GA,
Crovius X Rozelque,AA-08,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/circle_cut_blank.jpg,Both Days,True,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/crovius/,https://twitter.com/Crovius_,,,Genshin Impact,"Honkai Star Rail, Final Fantasy XIV, Original",PG,
Ichigowarano,AA-09/AA-10,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/ichigowarano.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,,https://www.instagram.com/ichigowarano/,https://twitter.com/ichigowarano,,,Genshin Impact,Honkai Star Rail,GA,
Mythia Batford,AA-11/AA-12,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/mythia.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/mythiavtuber/,https://twitter.com/MythiaVTuber,,,VTuber,-,PG,
KISE SENSEI,AA-13,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/kise_sensei.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/chenyeh.wong,https://www.instagram.com/kise_t9/,https://twitter.com/kise_t9,https://www.pixiv.net/users/5088139,,Blue Archive,"Sousou no Frieren, Bocchi the Rock, Oshi no Ko",PG,
Warung Pecel,AA-14,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/warung_pecel.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/with.Dis.Is.LeLe,https://www.instagram.com/dis.is.lele,https://www.twitter.com/DisIsLeLe,,,One Piece,"One Piece, Genshin Impact, Honkai Star Rail, Berserk, Jojo's Bizzare Adventure",GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/f33002c3-ad47-49a8-80ca-4e08f6c1c4fd/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/23547009-c8cb-4ca0-acb9-bfa2e7ef5f91/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/25b3a289-adfc-4262-8b7a-094417192afe/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/01995ea6-aa0c-4437-9c4a-bdb95491ae10/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/8479272f-70a6-4165-87c3-0b05bc2cac1d/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/01291a69-5f47-4026-839f-d8b631b576f6/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/1e43fcfc-ad0c-4be7-bf7a-77b60a74e7cb/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/b85612f5-7c83-48c7-bd70-c4989ff9a286/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/da52fadb-cb3b-45e6-803d-1836e3d02be9/AA-14.jpg']"
CADO CADO UNIVERSE,AA-15,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/circle_cut_blank.jpg,Both Days,False,True,False,False,True,False,False,True,False,False,False,,https://www.instagram.com/ferdirivahamzah/,@ferdiriva,,,Comic,Animation,GA,['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2c47d7b9-d24a-4cf4-bdb7-25889f4119ee/16d1ef9b-55ee-45a2-af54-f97ed2654435/AA-15.jpg']
GHOSTY's COMIC,AA-16/AA-17,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/ghosty.jpg,Both Days,False,True,False,False,False,False,False,True,False,False,False,https://www.facebook.com/GHOSTY.COMIC,https://instagram.com/ghosty_comic,https://twitter.com/jaretghosty,,,-,-,PG,
Nekonoi Katsu,AB-01,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/nekoinoi.jpg,Both Days,False,False,False,False,False,False,False,False,False,False,True,https://www.facebook.com/nekonoikatsu,https://www.instagram.com/nekonoikatsu/,https://twitter.com/nekonoikatsu,,,Cosplay,-,GA,
Yukitora Keiji,AB-02,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/yukitora_keiji.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,True,https://www.facebook.com/profile.php/?id=100045082624709,https://www.instagram.com/yukitora_keiji/,https://twitter.com/Yukitorakeiji,,,Genshin Impact,"Honkai Star Rail, Tekken 8",PG,
Susu Kacang,AB-03/AB-04,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/susu_kacang.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,True,https://www.facebook.com/rainbowfluffyunicorn,https://www.instagram.com/hkxsyr?igsh=ZnEzZ2h5Y3NsdmRy&utm_source=qr,https://x.com/hkxsyr2,,,genshin impact,Path to nowhere,M,
LINGKOR,AB-05/AB-06,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/lingkor.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,True,,https://www.instagram.com/rumie.rre/?hl=id,,,,Honkai Star Rail,Genshin,GA,
SoraNori X Satomiz,AB-07/AB-08,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/soranori.jpg,Both Days,False,True,True,False,False,True,False,True,True,False,True,https://www.facebook.com/SoranoriArt/,https://www.instagram.com/soranoriart/,https://twitter.com/Soranoriart,,,"Original, Hololive","Pokemon, Cosplayer",GA,
KARIDERION,AB-09,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/kariderion.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,True,,https://instagram.com/erion06,https://twitter.com/teasnspices,,,Trigun Stampede,"Mushoku Tensei, Atelier Ryza",M,
